condition,key_resp.rt,,,condition,key_resp.rt,,,
exp,0.842756379,,,exp,0.842756379,,unexp,1.803583642
exp,1.720002855,,,exp,1.720002855,,unexp,2.800848239
exp,4.333680357,,,exp,4.333680357,,unexp,3.200154149
exp,2.653206172,,,exp,2.653206172,,unexp,2.268469559
exp,2.952956512,,,exp,2.952956512,,unexp,1.169697269
unexp,1.803583642,,,exp,1.921573566,,unexp,3.366693348
exp,1.921573566,,,exp,1.735896821,,unexp,1.952440081
unexp,2.800848239,,,exp,1.370619963,,unexp,2.15300462
exp,1.735896821,,,exp,1.287319992,,unexp,1.066788619
unexp,3.200154149,,,exp,1.300540405,,unexp,2.883212003
exp,1.370619963,,,exp,1.586340995,,unexp,1.804106653
exp,1.287319992,,,exp,0.55210352,,unexp,0.88534717
exp,1.300540405,,,exp,1.66687403,,unexp,2.086513682
unexp,2.268469559,,,exp,2.435968595,,unexp,1.483436831
exp,1.586340995,,,exp,1.383965072,,unexp,0.937197896
exp,0.55210352,,,exp,1.250340805,,,
exp,1.66687403,,,exp,1.98760844,,,
exp,2.435968595,,,exp,2.45028896,,Mean,1.990766251
exp,1.383965072,,,exp,0.919973759,,,
unexp,1.169697269,,,exp,1.119034265,,,
exp,1.250340805,,,exp,0.802002135,,,
unexp,3.366693348,,,exp,0.516993238,,,
exp,1.98760844,,,exp,2.803273021,,,
exp,2.45028896,,,exp,1.686219988,,,
exp,0.919973759,,,exp,1.669804574,,,
unexp,1.952440081,,,exp,3.58403398,,,
exp,1.119034265,,,exp,0.903557463,,,
exp,0.802002135,,,exp,1.086240677,,,
exp,0.516993238,,,exp,0.96948132,,,
unexp,2.15300462,,,exp,2.235386048,,,
exp,2.803273021,,,exp,2.917225181,,,
exp,1.686219988,,,exp,0.753651128,,,
exp,1.669804574,,,exp,1.18415686,,,
exp,3.58403398,,,exp,1.000960798,,,
exp,0.903557463,,,exp,1.000929903,,,
unexp,1.066788619,,,exp,3.45388534,,,
exp,1.086240677,,,exp,1.018194592,,,
exp,0.96948132,,,exp,1.66695276,,,
unexp,2.883212003,,,exp,0.401667065,,,
exp,2.235386048,,,exp,1.419174476,,,
exp,2.917225181,,,exp,1.636002419,,,
exp,0.753651128,,,exp,0.917706871,,,
exp,1.18415686,,,exp,3.402861321,,,
exp,1.000960798,,,exp,0.969580699,,,
exp,1.000929903,,,exp,0.836143327,,,
unexp,1.804106653,,,,,,,
exp,3.45388534,,,,,,,
unexp,0.88534717,,,Mean,1.651269703,,,
unexp,2.086513682,,,,,,,
exp,1.018194592,,,,,,,
unexp,1.483436831,,,,,,,
exp,1.66695276,,,,,,,
exp,0.401667065,,,,,,,
exp,1.419174476,,,,,,,
exp,1.636002419,,,,,,,
exp,0.917706871,,,,,,,
exp,3.402861321,,,,,,,
exp,0.969580699,,,,,,,
unexp,0.937197896,,,,,,,
exp,0.836143327,,,,,,,
